Date,Close,High,Low,Open,Volume,Sector
2024-07-02,319.69097900390625,323.1700887926685,317.0333301988798,318.9661656934445,12684459,Power
2024-07-03,323.8949279785156,325.5861591713692,318.04811193745746,319.98094758643293,9369793,Power
2024-07-04,323.7499389648437,327.32569635647224,322.68687356521946,325.68277442135025,12878827,Power
2024-07-05,328.002197265625,328.48540616834185,321.6721724371272,323.74996482026324,10894118,Power
2024-07-08,328.002197265625,329.548471652865,325.5378436588616,329.548471652865,7828162,Power
2024-07-09,329.69342041015625,330.8531335455759,326.7458579723325,328.5820458594717,9214579,Power
2024-07-10,334.4288635253906,336.1200946533038,324.23316766563494,331.481301070977,10662609,Power
2024-07-11,331.2879943847656,337.03819182007805,330.5148719783991,336.7965873814973,12642065,Power
2024-07-12,331.57794189453125,334.2838998461679,328.6786885923221,331.2879988686725,11380570,Power
2024-07-15,332.3027648925781,333.80070067856207,328.7753458374287,333.80070067856207,5277531,Power
2024-07-16,330.9497375488281,335.34692607929026,330.0316289800508,331.2396510480597,11363095,Power
2024-07-18,329.7900390625,333.12419191384924,325.6344547629793,330.51485233516485,13908161,Power
2024-07-19,321.0439758300781,330.36990085542874,319.8842627782019,328.147122421454,12937990,Power
2024-07-22,327.22906494140625,328.00218736532514,318.4346572788613,318.9178661669931,10678640,Power
2024-07-23,323.025146484375,329.0652576751823,310.3167584374625,327.7122786669876,15954324,Power
2024-07-24,325.8277587890625,327.422342277242,319.20779089107947,319.78764747570773,12573882,Power
2024-07-25,328.0505065917969,331.094716508845,319.35274711867163,319.35274711867163,16271884,Power
2024-07-26,332.6409912109375,333.94563153949946,327.1323984067023,328.92027708826834,11468068,Power
2024-07-29,330.8531188964844,334.28389007337466,326.40759139784944,328.388735966015,31849674,Power
2024-07-30,338.05291748046875,344.9628279938475,331.771202099382,333.4141240730656,25813219,Power
2024-07-31,336.5066833496094,338.8743892188871,331.09473787411304,336.5549924415972,17976593,Power
2024-08-01,348.97344970703125,350.3264286363224,338.3911637207874,339.3575814549566,26792459,Power
2024-08-02,346.2191772460937,348.92513529209725,342.1119015913948,345.9775727958173,13771470,Power
2024-08-05,331.2879943847656,342.8850074366393,330.0316631012377,340.9038628373693,13566586,Power
2024-08-06,329.3068542480469,339.0193410135166,327.8572275969183,331.2879988741641,12273667,Power
2024-08-07,340.22735595703125,340.7105648304216,331.8678483459246,334.2355836226288,12441847,Power
2024-08-08,331.14306640625,343.0783326082087,329.79008733113017,343.0783326082087,15489731,Power
2024-08-09,334.38055419921875,337.2314984670845,332.7376321647316,336.2167420954083,8720610,Power
2024-08-12,329.69342041015625,332.2544216337502,328.0988369685019,331.4812992052905,12521136,Power
2024-08-13,325.6344909667969,330.9497888906235,323.8949212233606,325.68280005992114,10435954,Power
2024-08-14,322.3003234863281,326.9874555285283,321.3339057247499,325.6827856518518,12385993,Power
2024-08-16,329.9497985839844,330.8755111103973,322.1541744224629,324.49285572333014,13013828,Power
2024-08-19,331.6063537597656,334.5297128457628,330.6319007310999,333.89632432471933,5891370,Power
2024-08-20,331.8012390136719,333.8963069688124,330.1446570558706,331.75252825994914,6393840,Power
2024-08-21,328.0495910644531,332.23975673776164,327.5623645725297,331.3140145079292,10118601,Power
2024-08-22,325.46728515625,329.0727729648352,322.05669983275635,327.4161910553892,18370039,Power
2024-08-23,327.6598205566406,328.3419495503754,324.83391281020965,326.1006898123508,7494822,Power
2024-08-26,329.60870361328125,332.7756756361731,327.27002252858057,327.8547002342416,7993675,Power
2024-08-27,326.7828369140625,332.7270064784567,326.4417723982957,330.33958460603657,9589690,Power
2024-08-28,325.90582275390625,330.2421208277819,325.2236937482446,326.78282451979544,8790600,Power
2024-08-29,324.78515625,327.3187398668881,320.40011797621275,324.0056057853932,17653536,Power
2024-08-30,328.7804260253906,332.14230066599464,325.5160026293444,326.4417448457266,22713812,Power
2024-09-02,326.9776916503906,331.21656814014403,325.6622038931788,329.754888642846,9789776,Power
2024-09-03,326.1006774902344,329.3163901046873,325.4672890130972,327.4161949353313,8434423,Power
2024-09-04,324.3954162597656,326.1494496026038,322.5439614017258,322.7388639080236,9025610,Power
2024-09-05,322.7875671386719,325.7596369937512,321.17972558202325,323.8594714224198,13912371,Power
2024-09-06,321.37457275390625,324.5902853490741,316.6972104637728,324.541544858544,23755639,Power
2024-09-09,320.156494140625,320.789912327337,315.28422955325925,319.3282329511273,18597200,Power
2024-09-10,325.61346435546875,326.7340793590947,318.64613134550325,318.64613134550325,15472387,Power
2024-09-11,324.687744140625,328.63426680605346,323.518388671934,328.2932023161899,10134008,Power
2024-09-12,329.5599975585937,330.3395480186224,324.73644359057795,326.2955742485791,18410837,Power
2024-09-13,328.63427734375,332.53208938044384,327.51366233078966,331.119120621964,10417461,Power
2024-09-16,329.60870361328125,332.7756756361731,328.4393482019592,328.6342506831607,7748570,Power
2024-09-17,328.293212890625,331.31402316709057,325.95453161585823,328.0983401315295,11451846,Power
2024-09-18,325.7596130371094,330.24210260626126,324.59028732642474,329.8523273693664,6583254,Power
2024-09-19,326.34429931640625,329.7061740158864,324.5902958354267,327.61110604195386,10589610,Power
2024-09-20,332.1423034667969,334.18866066798813,326.19813435398225,329.5112685312731,31236123,Power
2024-09-23,332.43463134765625,333.7501488307827,331.55762960488704,333.26292233613924,6542941,Power
2024-09-24,341.1072692871094,342.03301155544364,333.6039988421936,335.7477776530497,26145769,Power
2024-09-25,354.457275390625,356.8934078675365,343.34851724349755,344.8101967296445,40770462,Power
2024-09-26,356.1138610839844,356.74724958699784,348.0746238263358,354.74960309232995,18733959,Power
2024-09-27,345.1999816894531,354.018769608783,344.3229799206824,352.9468950791444,33148043,Power
2024-09-30,343.83575439453125,348.3182442385522,340.76623332608574,345.1999826762908,16356171,Power
2024-10-01,341.83807373046875,346.9052408287628,341.0098125356985,342.13042745033755,9856291,Power
2024-10-03,335.35797119140625,340.9610755602838,333.847581039321,334.23735626521943,19350466,Power
2024-10-04,330.1933898925781,338.5736912568024,329.1214856940243,334.2373637099936,20121706,Power
2024-10-07,320.5463256835937,331.31401941955096,316.697224445159,331.31401941955096,13851446,Power
2024-10-08,318.79229736328125,322.5439474121905,314.1149347944762,318.9384593676916,21148292,Power
2024-10-09,321.32586669921875,323.32348339155686,317.1844415787588,318.64612103303875,9228363,Power
2024-10-10,325.8083801269531,329.4625790298172,321.6669547037071,321.76440595537287,20773976,Power
2024-10-11,321.6181945800781,326.78281322369,321.08225733554576,325.9058114881167,6098468,Power
2024-10-14,322.2516174316406,323.0311679326801,319.42567995499536,321.6181991943575,5944216,Power
2024-10-15,321.42333984375,324.931376720629,319.1333692617633,324.931376720629,12415489,Power
2024-10-16,318.8410339355469,324.1517849501145,316.6485146825187,323.22607244160326,22085298,Power
2024-10-17,322.69012451171875,323.4209643059041,316.3074688710122,320.1078298531866,17039729,Power
2024-10-18,323.5671081542969,325.3211414046507,319.86419863345947,323.0311708971571,10569021,Power
2024-10-21,322.69012451171875,325.2237084124841,321.0335721543337,324.4928686182988,8745904,Power
2024-10-22,314.50469970703125,327.0751372179107,312.84811774368296,324.3953915194,11219831,Power
2024-10-23,308.8041381835937,313.6764030010627,305.8320685401155,311.04539784239614,12541589,Power
2024-10-24,310.9966735839844,312.6045151100818,307.19631277558693,307.19631277558693,8327779,Power
2024-10-25,307.73223876953125,313.2866326431413,305.24739556909486,313.2866326431413,12979410,Power
2024-10-28,310.1683654785156,312.2634631342605,302.8112575208144,306.46545612323774,9610615,Power
2024-10-29,312.36090087890625,312.99431912661174,306.1244075541381,308.02460282136286,15856332,Power
2024-10-30,310.3145751953125,317.0870058214911,308.6579931710393,310.4119967066671,14498110,Power
2024-10-31,312.6044921875,314.4559765693672,309.729873848708,312.2147169579283,9900390,Power
2024-11-01,313.8226013183594,314.45601960829475,311.82498440718,314.2124063392267,847672,Power
2024-11-04,307.3912353515625,316.40492632310014,303.63958505365724,316.25873457104115,9249409,Power
2024-11-05,308.5118103027344,309.58371449666134,304.0293207795496,304.3703852600642,7518195,Power
2024-11-06,310.36328125,312.1660252519455,305.88079149157886,309.2913769998206,11019250,Power
2024-11-07,304.955078125,310.85050687749845,303.73701187548,310.85050687749845,14504208,Power
2024-11-08,308.1707763671875,309.4375534341505,300.81366775146586,303.88318890445083,15740539,Power
2024-11-11,321.37457275390625,323.90815638520525,304.8088725142628,305.5397122307176,22838987,Power
2024-11-12,314.4559936523437,324.0056211163854,313.57896216573255,323.0311681205466,12069181,Power
2024-11-13,309.8760681152344,316.3074641557814,309.0477770799156,314.407268824047,12918639,Power
2024-11-14,308.49224853515625,315.11478098021564,307.0095879656167,311.45756967423534,12500377,Power
2024-11-18,308.4427795410156,311.9023205460606,306.5153390799442,310.37025016689074,9408101,Power
2024-11-19,311.4081115722656,314.5711326705386,308.6404907348804,309.4312309270462,13157158,Power
2024-11-21,322.1326904296875,322.9728707246712,309.3818164860661,312.34713741085267,25406386,Power
2024-11-22,333.05499267578125,333.69747287934297,320.25467789759387,322.0338584866581,31523269,Power
2024-11-25,338.7879333496094,341.4072942703359,332.26422094142595,337.89834305867663,29419152,Power
2024-11-26,334.8835754394531,340.6165475157011,333.9939851655817,338.0465965963351,13997179,Power
2024-11-27,335.328369140625,337.3546596737846,332.6101583369795,333.3514885561556,12177260,Power
2024-11-28,329.7931213378906,337.79949431736435,328.3599009093121,335.3283934079469,16920231,Power
2024-11-29,325.5922546386719,328.6564258449242,322.7257835740384,327.5197254426324,13890537,Power
2024-12-02,324.0601806640625,328.1127922056024,322.4292600899128,324.3567007085238,16003524,Power
2024-12-03,325.83935546875,327.5197161303128,320.5017836096764,320.5017836096764,23174488,Power
2024-12-04,321.2925109863281,327.42085297971937,317.3881898572262,325.2462722298568,17880011,Power
2024-12-05,324.55438232421875,326.6301130113951,315.85608948386187,321.2431012476285,19785053,Power
2024-12-06,325.0980224609375,328.9035238107168,322.9234718073532,323.3188419112044,8802058,Power
2024-12-09,325.29571533203125,326.8277857620485,322.9234645970865,323.9613148671233,9376929,Power
2024-12-10,324.1095886230469,328.01394011834174,321.5890777662098,328.01394011834174,14994365,Power
2024-12-11,323.7636108398437,325.19686135245564,323.0717207230828,323.46709081334683,5013051,Power
2024-12-12,325.3945617675781,326.0864518849506,322.0832806996824,324.20842133093345,10414162,Power
2024-12-13,329.9908142089844,330.43559426400026,321.29252110051897,326.8277930486687,14973536,Power
2024-12-16,331.12750244140625,332.3630528236503,327.7668114346633,329.9908021227026,12695136,Power
2024-12-17,325.98760986328125,331.67114177987594,324.20842932922585,328.6564108291695,17360248,Power
2024-12-18,317.8329772949219,325.2957199146396,316.94338702738605,324.2084295144046,15037099,Power
2024-12-19,317.93182373046875,320.1064045061048,313.18732224792353,314.3240225859495,10234715,Power
2024-12-20,312.1494445800781,321.8361779263671,309.97489394995165,317.5858664026019,13973399,Power
2024-12-23,311.6552124023437,314.620533282156,307.94856130257847,314.3240132600963,5984169,Power
2024-12-24,306.5153503417969,312.98962239462014,305.180949872148,310.46911163568706,4833589,Power
2024-12-26,306.7130126953125,309.4806636312283,305.1809422978764,306.51534273440683,3775101,Power
2024-12-27,305.82342529296875,308.6898961534959,305.2303550751483,307.1578257418637,3981693,Power
2024-12-30,303.99481201171875,308.3933835546217,302.75926159683644,305.42806255890423,12489142,Power
2024-12-31,305.13153076171875,306.1693810042863,301.62254961984945,303.79713033212914,8402716,Power
2025-01-01,306.8118591308594,307.7508894696727,302.3638778382138,305.13152874140883,4239498,Power
2025-01-02,311.5069580078125,313.5332787444346,305.18094604978194,306.26823642494446,10766571,Power
2025-01-03,312.39654541015625,314.3240160651567,310.02429471809705,312.69309559966626,7636948,Power
2025-01-06,302.4627380371094,312.8413614011278,301.27659758672826,312.149441110938,6722495,Power
2025-01-07,301.5237121582031,307.1084241833969,299.4974215371576,302.462742542476,10137739,Power
2025-01-08,303.105224609375,304.2913650847894,299.4974233967971,302.61100443875324,6907996,Power
2025-01-09,301.7214050292969,303.35232551000786,300.1398944982299,303.1052154321788,8244909,Power
